AD-ED,Reporting,Jo Jorgensen Jeremy Cohen,Donald J. Trump Michael R. Pence,WRITE-IN,Howie Hawkins Angela Nicole Walker,Joseph R. Biden Kamala D. Harris,Brock Pierce Karla Ballard
38-071,66.67%,0,14,0,0,52,0
39-001,42.86%,0,23,0,0,78,0
39-002,99.00%,0,53,0,1,115,1
39-003,99.00%,0,24,0,0,73,1
39-004,99.00%,0,25,2,0,70,0
39-005,85.71%,0,22,0,0,71,0
39-006,85.71%,0,22,0,0,70,0
39-007,99.00%,0,175,0,1,342,0
39-008,99.00%,0,13,0,0,44,0
39-009,42.86%,0,13,0,0,89,0
39-010,99.00%,0,96,0,1,360,1
39-011,99.00%,2,173,2,1,349,0
39-012,99.00%,0,140,1,1,352,1
39-013,99.00%,1,162,1,2,391,1
39-014,99.00%,1,114,1,2,328,0
39-015,44.44%,0,34,0,1,183,1
39-016,44.44%,0,36,0,0,109,0
39-017,44.44%,0,57,0,1,176,0
39-018,30.00%,0,91,0,0,288,0
39-019,87.50%,3,129,2,4,465,0
39-020,99.00%,0,0,0,0,12,0
39-021,99.00%,1,8,0,0,14,0
39-022,99.00%,0,12,0,0,33,0
39-023,44.44%,0,63,1,1,125,0
39-024,87.50%,1,34,0,1,47,0
39-025,99.00%,0,58,0,0,172,0
39-026,44.44%,0,46,1,0,91,0
39-027,44.44%,0,52,0,0,137,0
39-028,44.44%,0,12,0,1,29,0
39-029,87.50%,0,56,1,0,149,0
39-030,87.50%,0,59,0,0,170,0
39-031,87.50%,1,66,0,0,145,0
39-032,87.50%,0,28,1,1,79,0
39-033,87.50%,2,39,1,0,95,0
39-034,81.82%,0,103,1,1,252,1
39-035,99.00%,0,82,1,0,140,0
39-036,99.00%,1,23,0,0,27,0
39-037,81.82%,1,100,0,4,221,0
39-038,81.82%,0,51,0,0,160,0
39-039,81.82%,0,0,0,0,0,0
39-040,81.82%,0,30,0,0,51,0
39-041,81.82%,0,95,0,0,271,0
39-042,81.82%,0,9,0,0,41,0
39-043,81.82%,0,67,0,0,219,0
39-044,87.50%,0,114,1,0,278,0
39-045,87.50%,1,103,1,2,344,0
39-046,87.50%,1,78,0,0,370,0
39-047,81.82%,0,114,0,3,376,0
39-048,81.82%,1,86,1,0,182,0
39-049,81.82%,0,62,1,3,298,0
39-050,81.82%,0,28,0,0,55,0
39-051,81.82%,3,65,0,1,230,0
39-052,42.86%,0,10,0,0,45,0
39-053,99.00%,1,92,1,1,251,0
39-054,99.00%,0,51,0,0,140,0
39-055,87.50%,0,32,1,0,108,0
39-056,87.50%,2,138,2,0,440,0
40-001,72.73%,0,178,0,2,62,0
40-002,99.00%,1,84,0,2,82,0
40-003,99.00%,0,39,0,0,68,0
40-004,99.00%,0,58,0,0,51,0
40-005,72.73%,1,180,0,0,144,0
40-006,72.73%,0,181,0,0,139,0
40-007,99.00%,0,74,0,1,57,0
40-008,99.00%,0,51,0,2,66,0
40-009,99.00%,0,331,3,2,279,0
40-010,72.73%,0,1,0,0,0,0
40-011,99.00%,0,30,0,0,39,0
40-012,99.00%,1,22,0,0,30,0
40-013,99.00%,0,95,0,1,105,0
40-014,99.00%,0,68,2,1,73,0
40-015,99.00%,0,63,0,1,68,1
40-016,87.50%,1,50,0,0,57,0
40-017,99.00%,0,92,1,0,166,1
40-018,99.00%,2,113,3,0,185,0
40-019,87.50%,0,45,0,1,129,0
40-020,99.00%,0,68,0,1,126,0
40-021,99.00%,1,129,2,2,166,0
40-022,66.67%,1,92,0,0,148,0
40-023,66.67%,0,51,0,0,84,0
40-024,66.67%,0,40,0,0,88,0
40-025,66.67%,1,70,0,0,110,0
40-026,99.00%,1,107,0,0,169,1
40-027,99.00%,0,116,0,1,161,1
40-028,87.50%,0,22,0,0,68,0
40-029,87.50%,0,38,0,1,78,0
40-030,87.50%,0,43,0,0,87,0
40-031,66.67%,0,39,1,0,69,0
40-032,90.00%,0,53,0,0,87,0
40-033,90.00%,0,65,0,3,101,0
40-034,90.00%,0,14,1,0,73,0
40-035,99.00%,1,125,0,1,313,2
40-036,99.00%,0,115,0,0,196,1
40-037,66.67%,1,52,0,0,131,0
40-038,66.67%,1,47,1,2,84,0
40-039,90.00%,1,49,0,0,100,1
40-040,90.00%,0,46,0,0,127,0
40-041,90.00%,0,57,0,0,61,0
40-042,90.00%,0,66,0,1,78,0
40-043,99.00%,0,136,0,1,167,1
40-044,99.00%,0,98,0,0,156,1
40-045,71.43%,0,85,1,3,210,0
40-046,71.43%,2,129,2,0,222,0
40-047,87.50%,1,55,0,0,91,1
40-048,87.50%,0,46,0,0,51,0
40-049,87.50%,0,26,1,1,37,0
40-050,99.00%,0,92,1,2,309,0
40-051,71.43%,1,130,3,3,253,1
40-052,99.00%,2,133,2,3,137,0
40-053,99.00%,1,102,0,2,151,0
40-054,99.00%,0,0,0,0,0,0
40-055,99.00%,0,0,0,0,0,0
40-056,99.00%,0,123,0,0,165,0
40-057,87.50%,1,39,0,0,55,0
40-058,90.00%,1,42,1,0,103,0
40-059,90.00%,0,21,0,0,67,0
40-060,99.00%,2,111,0,1,214,0
41-001,99.00%,0,98,0,0,44,0
41-002,99.00%,0,113,0,0,39,0
41-003,99.00%,0,96,1,2,63,0
41-004,99.00%,0,145,0,0,74,0
41-005,81.82%,0,113,0,0,21,0
41-006,99.00%,0,300,3,2,123,0
41-007,99.00%,0,145,1,3,67,0
41-008,99.00%,0,140,0,0,40,0
41-009,99.00%,1,161,0,2,45,0
41-010,83.33%,0,76,0,0,38,0
41-011,99.00%,0,54,0,0,34,0
41-012,81.82%,0,60,0,0,30,0
41-013,81.82%,0,9,0,0,2,0
41-014,99.00%,0,17,0,0,23,0
41-015,81.82%,1,21,0,0,21,0
41-016,75.00%,0,90,0,0,37,0
41-017,75.00%,4,112,0,0,70,1
41-018,99.00%,0,108,1,0,63,0
41-019,99.00%,0,12,0,0,7,0
41-020,99.00%,1,58,0,0,93,0
41-021,87.50%,0,94,0,0,123,0
41-022,87.50%,0,16,0,0,32,0
41-023,87.50%,0,7,0,0,42,0
41-024,99.00%,0,14,0,0,25,0
41-025,99.00%,0,11,0,0,41,0
41-026,99.00%,0,1,0,0,32,0
41-027,87.50%,0,15,1,1,137,0
41-028,87.50%,2,42,1,2,299,1
41-029,99.00%,0,0,0,1,6,0
41-030,91.67%,1,20,0,3,298,0
41-031,91.67%,1,14,0,1,310,1
41-032,91.67%,0,14,0,1,246,0
41-033,91.67%,0,8,0,1,266,1
41-034,91.67%,0,8,0,0,268,1
41-035,83.33%,1,80,0,0,46,0
41-036,99.00%,1,67,0,0,36,0
41-037,99.00%,0,9,1,0,351,0
41-038,99.00%,1,18,1,0,429,0
41-039,99.00%,0,16,1,0,426,1
41-040,99.00%,0,8,0,0,327,0
41-041,99.00%,0,15,0,0,351,0
41-042,90.00%,0,32,0,0,20,0
41-043,87.50%,0,10,0,2,289,1
41-044,99.00%,1,149,0,5,72,0
41-045,80.00%,0,7,0,1,228,0
41-046,90.91%,0,94,1,1,105,0
41-047,80.00%,0,5,0,0,178,0
41-048,87.50%,0,2,0,0,88,0
41-049,99.00%,0,4,0,0,338,0
41-050,50.00%,1,173,3,0,54,0
41-051,99.00%,0,37,0,0,51,0
41-052,84.62%,3,152,0,0,87,0
41-053,84.62%,0,42,0,1,227,0
41-054,84.62%,1,20,0,0,346,0
41-055,84.62%,2,17,4,2,441,1
41-056,75.00%,0,67,1,1,57,0
41-057,81.82%,0,86,0,0,44,0
41-058,81.82%,0,140,0,0,27,0
41-059,81.82%,0,147,0,0,53,0
41-060,90.00%,0,35,0,1,77,0
41-061,90.00%,0,58,0,1,43,0
41-062,90.00%,0,55,0,0,57,0
41-063,90.91%,0,69,0,2,58,0
41-064,90.91%,0,51,0,0,57,0
41-065,99.00%,0,13,0,0,34,0
41-066,90.91%,0,9,0,0,45,0
41-067,99.00%,1,11,0,0,75,0
41-068,99.00%,0,6,0,0,47,0
41-069,99.00%,0,10,0,0,54,0
41-070,99.00%,2,315,2,1,136,0
41-071,80.00%,0,137,0,0,46,0
41-072,99.00%,0,141,0,0,40,0
41-073,80.00%,0,113,0,0,45,0
41-074,80.00%,0,127,0,0,50,0
41-075,83.33%,0,54,1,1,71,0
41-076,83.33%,0,53,1,0,67,0
41-077,83.33%,0,131,1,0,51,1
41-078,83.33%,0,65,0,0,42,1
41-079,80.00%,1,68,0,0,48,0
41-080,83.33%,0,10,1,0,4,0
41-081,80.00%,0,62,0,2,18,0
41-082,99.00%,3,339,0,2,112,0
41-083,99.00%,1,222,2,2,110,0
41-084,90.00%,0,119,0,0,66,0
41-085,99.00%,0,170,0,1,147,0
41-086,99.00%,1,359,3,1,139,1
41-087,99.00%,3,250,1,0,120,0
41-088,99.00%,1,405,0,1,94,0
41-089,99.00%,0,199,0,2,115,0
41-090,99.00%,1,34,1,0,19,0
41-091,99.00%,0,16,0,0,83,0
41-092,80.00%,0,63,0,0,26,0
41-093,99.00%,0,1,0,0,0,0
41-094,81.82%,0,73,0,0,33,0
41-095,99.00%,0,112,0,0,51,0
41-096,91.67%,0,13,0,2,240,0
41-097,80.00%,0,4,0,3,182,0
41-098,84.62%,1,35,0,1,272,0
41-099,91.67%,0,0,0,0,0,0
42-001,99.00%,0,1,0,0,12,0
42-002,72.73%,1,8,1,2,224,0
42-003,72.73%,0,6,0,1,241,0
42-004,72.73%,0,7,2,2,235,0
42-005,99.00%,0,5,0,2,164,0
42-006,72.73%,1,7,0,1,213,0
42-007,72.73%,0,12,0,0,296,0
42-008,72.73%,1,2,1,4,334,1
42-009,66.67%,1,19,1,0,330,0
42-010,99.00%,2,29,1,3,560,0
42-011,99.00%,3,28,0,2,486,1
42-012,71.43%,1,10,2,0,312,0
42-013,99.00%,1,28,1,2,488,1
42-014,71.43%,0,11,0,1,332,0
42-015,72.73%,0,7,0,1,328,0
42-016,99.00%,1,14,1,0,300,0
42-017,99.00%,2,7,0,1,227,0
42-018,72.73%,0,12,0,1,346,0
42-019,99.00%,0,10,0,0,273,0
42-020,99.00%,0,6,0,0,329,0
42-021,71.43%,0,20,2,1,369,0
42-022,99.00%,0,5,1,4,419,0
42-023,99.00%,0,8,0,1,134,0
42-024,50.00%,1,15,0,0,191,0
42-025,50.00%,0,6,0,1,298,0
42-026,92.31%,1,6,0,0,271,0
42-027,92.31%,0,5,1,0,318,0
42-028,99.00%,0,4,0,0,336,0
42-029,99.00%,1,5,0,2,327,0
42-030,99.00%,0,5,1,0,304,0
42-031,99.00%,0,9,0,0,250,0
42-032,44.44%,0,1,0,0,62,0
42-033,99.00%,0,0,0,0,6,0
42-034,99.00%,0,2,0,0,140,0
42-035,99.00%,0,11,1,0,237,0
42-036,77.78%,0,54,0,1,161,0
42-037,50.00%,1,8,0,0,102,0
42-038,50.00%,0,127,1,1,20,0
42-039,44.44%,0,2,1,0,274,0
42-040,44.44%,0,5,0,1,288,0
42-041,44.44%,3,6,0,0,316,0
42-042,44.44%,0,6,0,0,308,1
42-043,91.67%,0,14,0,2,406,0
42-044,83.33%,0,7,1,1,219,0
42-045,83.33%,0,6,0,0,303,0
42-046,83.33%,0,7,0,1,261,0
42-047,91.67%,0,18,0,1,410,0
42-048,92.31%,0,20,0,0,373,0
42-049,92.31%,0,24,0,1,337,0
42-050,91.67%,0,15,1,2,406,0
42-051,50.00%,1,41,0,0,156,0
42-052,84.62%,2,55,1,7,445,0
42-053,84.62%,1,32,1,4,427,2
42-054,92.31%,0,12,1,0,386,0
42-055,92.31%,3,15,2,2,341,0
42-056,91.67%,1,22,0,4,441,0
42-057,77.78%,0,11,1,0,276,0
42-058,44.44%,0,7,0,0,239,0
42-059,50.00%,0,59,0,0,5,0
42-060,99.00%,0,33,0,0,2,0
42-061,90.00%,1,101,1,2,151,0
42-062,84.62%,0,370,2,0,21,0
42-063,50.00%,1,119,0,2,66,0
42-064,50.00%,0,215,0,0,18,0
42-065,50.00%,0,90,0,0,3,0
42-066,99.00%,0,96,0,0,12,0
42-067,99.00%,2,63,0,1,83,0
42-068,66.67%,0,3,1,0,240,0
42-069,50.00%,1,23,0,0,12,0
42-070,71.43%,0,13,1,2,336,0
42-071,83.33%,0,14,0,0,277,0
42-072,72.73%,0,15,0,1,353,1
42-073,92.31%,0,13,0,1,412,0
42-074,91.67%,3,22,0,1,398,0
42-075,99.00%,1,7,0,1,265,0
42-076,72.73%,0,4,0,0,163,0
42-077,66.67%,0,18,1,1,337,0
42-078,99.00%,0,12,2,2,246,0
42-079,92.31%,0,6,2,0,371,0
42-080,91.67%,1,22,0,0,467,1
42-081,84.62%,0,28,1,1,407,0
42-082,50.00%,0,14,0,0,93,0
43-001,99.00%,0,7,2,3,346,0
43-002,99.00%,0,0,1,1,239,0
43-003,53.85%,0,11,1,2,344,0
43-004,53.85%,0,5,0,1,324,0
43-005,66.67%,0,4,0,1,244,0
43-006,53.85%,0,7,1,1,302,0
43-007,53.85%,1,2,0,2,240,0
43-008,53.85%,0,1,0,1,204,0
43-009,99.00%,0,6,1,0,267,0
43-010,44.44%,0,6,0,1,133,0
43-011,63.64%,1,28,1,2,179,0
43-012,25.00%,0,0,0,0,0,0
43-013,44.44%,0,0,0,0,0,0
43-014,99.00%,0,10,1,1,375,0
43-015,63.64%,0,4,1,0,196,0
43-016,63.64%,0,4,0,0,207,0
43-017,87.50%,0,3,0,1,211,0
43-018,99.00%,0,4,1,2,355,0
43-019,99.00%,0,3,0,1,199,0
43-020,99.00%,0,3,1,2,253,0
43-021,99.00%,2,32,0,2,586,0
43-022,87.50%,0,1,0,0,208,0
43-023,99.00%,0,5,0,0,220,0
43-024,99.00%,0,3,0,1,274,0
43-025,53.85%,0,1,0,0,208,0
43-026,99.00%,0,8,0,2,246,0
43-027,53.85%,0,3,2,0,300,1
43-028,99.00%,1,8,1,0,315,0
43-029,90.00%,0,9,1,1,306,0
43-030,90.00%,0,13,0,0,402,0
43-031,90.00%,0,13,0,1,489,2
43-032,66.67%,0,9,1,0,351,0
43-033,90.00%,0,14,2,0,465,0
43-034,99.00%,0,6,0,1,156,0
43-035,99.00%,0,6,2,2,289,0
43-036,99.00%,0,4,0,0,199,0
43-037,99.00%,1,8,1,0,287,0
43-038,99.00%,0,25,0,0,190,0
43-039,99.00%,0,34,0,3,286,0
43-040,99.00%,0,78,0,0,80,0
43-041,99.00%,0,2,0,2,263,0
43-042,99.00%,0,4,2,0,256,0
43-043,99.00%,1,44,2,0,217,0
43-044,99.00%,0,2,0,1,240,0
43-045,99.00%,0,3,1,0,307,0
43-046,72.73%,0,4,0,3,297,0
43-047,25.00%,0,0,0,0,0,0
43-048,25.00%,0,0,0,0,0,0
43-049,25.00%,0,0,0,0,0,0
43-050,25.00%,0,0,0,0,0,0
43-051,0.00%,0,0,0,0,0,0
43-052,87.50%,0,14,0,0,199,0
43-053,41.67%,0,21,0,0,209,0
43-054,75.00%,0,6,0,0,171,0
43-055,75.00%,0,16,0,0,200,0
43-056,75.00%,0,9,0,0,100,0
43-057,63.64%,0,98,1,0,58,0
43-058,44.44%,0,0,0,0,0,0
43-059,44.44%,0,0,0,0,0,0
43-060,99.00%,0,82,0,0,107,0
43-061,0.00%,0,0,0,0,0,0
43-062,99.00%,0,95,0,0,97,0
43-063,99.00%,0,50,0,0,106,0
43-064,44.44%,0,0,0,0,0,0
43-065,44.44%,0,0,0,0,0,0
43-066,41.67%,0,3,0,0,295,0
43-067,41.67%,0,7,0,0,299,0
43-068,41.67%,0,2,0,0,139,0
43-069,41.67%,0,7,0,0,177,0
43-070,41.67%,0,1,0,0,26,0
43-071,87.50%,0,3,0,0,249,0
43-072,99.00%,1,0,0,1,201,0
43-073,99.00%,1,1,1,0,348,0
43-074,66.67%,0,1,0,3,317,1
43-075,99.00%,0,4,0,0,263,0
43-076,41.67%,1,24,0,0,152,0
43-077,99.00%,0,17,0,0,81,1
43-078,66.67%,0,8,2,1,286,0
43-079,41.67%,0,0,0,0,138,0
43-080,63.64%,1,9,0,0,197,0
43-081,63.64%,0,7,1,0,184,0
43-082,99.00%,0,3,1,1,288,0
43-083,99.00%,0,5,1,0,237,1
43-084,44.44%,0,0,0,0,0,0
43-085,99.00%,0,94,0,0,75,0
43-086,99.00%,0,1,0,0,131,0
43-087,72.73%,0,3,0,0,277,0
44-001,99.00%,0,85,1,0,38,0
44-002,99.00%,0,73,0,0,4,0
44-003,77.78%,0,118,0,0,43,0
44-004,77.78%,0,99,0,0,22,0
44-005,77.78%,0,94,0,0,96,0
44-006,91.67%,1,35,0,1,94,0
44-007,91.67%,0,15,0,0,99,0
44-008,91.67%,0,23,0,0,95,0
44-009,46.15%,1,11,0,1,148,0
44-010,90.00%,0,16,0,1,96,1
44-011,99.00%,0,23,0,0,40,0
44-012,99.00%,1,6,2,0,38,0
44-013,99.00%,0,114,1,0,22,0
44-014,90.00%,1,29,1,1,86,0
44-015,90.00%,0,24,0,0,119,0
44-016,90.00%,0,8,0,0,78,0
44-017,99.00%,0,28,1,2,162,0
44-018,99.00%,1,30,0,3,199,0
44-019,91.67%,0,26,0,0,48,0
44-020,91.67%,0,9,0,0,40,0
44-021,77.78%,0,12,0,0,0,0
44-022,99.00%,0,8,0,0,5,0
44-023,99.00%,1,57,0,2,63,0
44-024,85.71%,0,64,0,0,25,0
44-025,99.00%,0,125,1,0,69,0
44-026,99.00%,2,148,1,0,65,0
44-027,99.00%,0,107,0,1,83,0
44-028,50.00%,1,25,1,1,79,0
44-029,99.00%,0,50,2,0,103,0
44-030,99.00%,0,29,0,1,47,1
44-031,50.00%,0,27,0,2,221,0
44-032,92.31%,0,8,0,0,35,0
44-033,50.00%,0,13,0,2,177,0
44-034,50.00%,0,9,0,1,114,0
44-035,46.15%,0,13,0,0,198,0
44-036,99.00%,0,2,0,2,185,0
44-037,46.15%,0,8,0,0,82,0
44-038,99.00%,0,33,1,4,397,0
44-039,46.15%,2,9,0,0,106,0
44-040,46.15%,0,1,0,0,19,0
44-041,46.15%,0,12,0,0,41,0
44-042,46.15%,1,26,0,0,103,0
44-043,46.15%,0,28,0,0,107,0
44-044,46.15%,0,7,0,0,47,0
44-045,46.15%,0,19,0,2,127,0
44-046,99.00%,0,1,0,1,92,0
44-047,99.00%,1,2,0,1,30,0
44-048,99.00%,1,9,0,0,164,0
44-049,99.00%,0,11,1,1,196,0
44-050,99.00%,1,13,0,1,293,0
44-051,99.00%,0,29,1,0,335,0
44-052,99.00%,0,37,0,1,349,0
44-053,99.00%,1,49,1,1,351,2
44-054,99.00%,0,37,2,0,321,0
44-055,99.00%,0,40,0,1,318,0
44-056,99.00%,3,101,1,1,436,0
44-057,99.00%,1,81,0,2,541,0
44-058,99.00%,3,85,2,4,444,0
44-059,99.00%,0,92,2,4,466,1
44-060,99.00%,5,75,1,2,367,0
44-061,99.00%,1,35,1,2,258,1
44-062,99.00%,1,26,0,0,267,0
44-063,99.00%,0,18,0,2,351,0
44-064,99.00%,0,10,0,0,135,0
44-065,99.00%,2,27,0,3,354,0
44-066,99.00%,1,51,3,1,347,0
44-067,99.00%,0,112,1,0,42,0
44-068,99.00%,1,26,1,4,398,0
44-069,99.00%,1,29,0,0,280,0
44-070,99.00%,3,20,3,0,281,0
44-071,99.00%,1,40,1,3,406,0
44-072,99.00%,1,19,0,1,414,0
44-073,99.00%,2,42,3,3,500,0
44-074,99.00%,0,31,4,1,446,0
44-075,99.00%,1,29,2,5,423,0
44-076,99.00%,1,17,0,3,445,0
44-077,99.00%,0,27,3,0,442,1
44-078,99.00%,0,33,1,1,494,0
44-079,99.00%,1,41,1,1,447,0
44-080,99.00%,2,28,1,0,361,0
44-081,91.67%,0,51,0,0,49,0
44-082,99.00%,0,21,0,1,154,0
44-083,99.00%,0,47,1,1,317,0
44-084,99.00%,1,27,0,1,249,0
44-085,99.00%,0,88,0,0,31,0
44-086,99.00%,0,22,2,2,146,0
44-087,50.00%,0,38,0,1,118,0
44-088,91.67%,0,4,0,1,97,1
44-089,90.00%,0,7,0,1,121,0
44-090,99.00%,0,9,0,1,137,0
44-091,99.00%,0,0,0,0,0,0
44-092,99.00%,0,0,0,0,0,0
44-093,50.00%,0,0,0,0,0,0
45-001,99.00%,2,101,0,0,64,0
45-002,99.00%,1,395,2,0,131,0
45-003,99.00%,0,165,1,0,68,0
45-004,99.00%,1,163,0,0,94,0
45-005,99.00%,0,115,0,0,47,0
45-006,99.00%,0,218,0,1,31,0
45-007,99.00%,0,6,0,0,3,0
45-008,99.00%,1,110,0,0,47,0
45-009,99.00%,0,170,0,0,38,0
45-010,99.00%,0,92,0,0,17,0
45-011,99.00%,1,170,3,1,104,0
45-012,99.00%,0,101,0,1,50,0
45-013,99.00%,0,173,0,0,73,0
45-014,99.00%,0,168,0,0,55,0
45-015,99.00%,1,106,0,0,7,0
45-016,99.00%,0,306,2,0,42,0
45-017,99.00%,1,154,0,0,18,0
45-018,99.00%,0,8,0,0,6,0
45-019,99.00%,0,258,0,1,66,0
45-020,99.00%,0,290,3,0,23,0
45-021,80.00%,0,310,1,0,41,0
45-022,99.00%,1,152,0,2,22,0
45-023,99.00%,0,75,3,0,44,0
45-024,99.00%,0,64,0,0,37,0
45-025,99.00%,1,17,1,0,15,0
45-026,99.00%,0,41,0,1,46,0
45-027,99.00%,0,64,0,0,56,0
45-028,80.00%,0,25,0,0,51,0
45-029,99.00%,0,52,0,1,35,0
45-030,80.00%,0,149,0,0,71,1
45-031,50.00%,0,235,0,0,34,0
45-032,99.00%,2,238,0,0,32,0
45-033,99.00%,2,159,0,1,83,0
45-034,99.00%,0,87,0,1,121,0
45-035,99.00%,2,246,2,1,71,0
45-036,50.00%,0,146,0,0,33,0
45-037,99.00%,0,175,0,0,40,0
45-038,80.00%,0,81,1,2,56,0
45-039,80.00%,0,12,0,0,4,0
45-040,50.00%,1,157,0,0,38,0
45-041,50.00%,0,38,0,0,22,0
45-042,50.00%,0,102,0,0,39,0
45-043,50.00%,1,133,1,0,70,0
45-044,57.14%,0,71,0,4,110,0
45-045,57.14%,0,26,0,0,68,1
45-046,57.14%,0,9,0,0,58,0
45-047,99.00%,0,30,0,0,32,0
45-048,99.00%,0,94,0,0,42,0
45-049,99.00%,0,55,1,0,19,0
45-050,99.00%,0,160,0,1,64,0
45-051,80.00%,0,33,0,0,31,0
45-052,80.00%,0,13,0,0,13,0
45-053,80.00%,0,88,0,0,23,0
45-054,80.00%,1,70,1,0,29,0
45-055,80.00%,0,9,0,0,5,0
45-056,80.00%,0,21,0,0,27,0
45-057,99.00%,0,171,1,2,62,0
45-058,99.00%,1,79,0,1,36,0
45-059,99.00%,0,86,0,1,39,0
45-060,57.14%,0,59,0,1,60,0
45-061,57.14%,0,6,0,0,12,0
45-062,57.14%,0,77,1,0,57,0
45-063,99.00%,0,18,0,0,45,0
45-064,99.00%,1,145,0,0,15,0
45-065,99.00%,1,180,1,0,81,0
45-066,99.00%,0,184,0,0,34,0
45-067,99.00%,0,95,0,0,16,0
45-068,99.00%,0,209,0,0,29,1
45-069,99.00%,0,200,1,0,44,0
45-070,99.00%,0,233,0,1,47,0
45-071,99.00%,1,127,0,0,23,0
45-072,99.00%,0,132,0,0,19,1
45-073,99.00%,0,71,0,1,19,0
45-074,99.00%,0,311,0,0,22,0
45-075,99.00%,1,364,0,0,80,0
45-076,99.00%,0,108,0,0,7,0
45-077,99.00%,1,85,0,0,33,0
45-078,99.00%,0,93,0,0,56,0
45-079,99.00%,0,0,0,0,0,0
45-080,99.00%,0,0,0,0,0,0
46-001,44.44%,0,239,0,1,80,0
46-002,44.44%,0,155,0,0,82,0
46-003,44.44%,0,160,0,0,62,0
46-004,44.44%,0,70,2,1,151,0
46-005,44.44%,0,45,0,0,105,0
46-006,44.44%,0,15,0,0,98,0
46-007,66.67%,0,71,0,0,99,0
46-008,66.67%,0,96,0,0,85,0
46-009,99.00%,0,66,0,0,109,0
46-010,99.00%,0,24,1,0,103,0
46-011,66.67%,0,138,0,0,58,0
46-012,99.00%,0,40,0,2,184,0
46-013,99.00%,0,49,0,2,296,0
46-014,99.00%,0,66,0,0,312,0
46-015,99.00%,0,85,0,1,291,0
46-016,99.00%,2,35,2,1,127,0
46-017,99.00%,1,203,0,0,20,0
46-018,99.00%,0,209,0,0,18,0
46-019,99.00%,0,92,0,0,22,0
46-020,99.00%,1,306,0,1,88,0
46-021,99.00%,1,395,0,3,88,0
46-022,99.00%,0,47,0,0,10,0
46-023,83.33%,0,55,0,1,11,0
46-024,83.33%,0,67,0,0,14,0
46-025,99.00%,0,227,0,2,67,0
46-026,99.00%,1,67,0,0,23,0
46-027,99.00%,0,79,0,0,17,0
46-028,99.00%,0,97,0,0,20,0
46-029,99.00%,0,62,0,0,11,0
46-030,99.00%,1,409,0,0,84,0
46-031,83.33%,6,152,0,1,290,1
46-032,99.00%,0,45,0,1,109,0
46-033,44.44%,0,36,0,3,122,0
46-034,33.33%,0,74,0,1,122,0
46-035,99.00%,0,24,0,0,31,0
46-036,88.89%,1,155,0,0,86,0
46-037,99.00%,0,1,0,0,0,0
46-038,50.00%,0,103,0,0,59,0
46-039,50.00%,0,77,0,0,43,0
46-040,99.00%,1,66,0,1,69,0
46-041,87.50%,0,149,2,0,180,0
46-042,88.89%,0,87,1,0,89,0
46-043,57.14%,0,128,1,0,53,1
46-044,99.00%,0,241,0,1,61,0
46-045,99.00%,1,88,0,0,41,0
46-046,99.00%,0,99,0,0,20,0
46-047,88.89%,0,137,0,1,92,0
46-048,83.33%,2,64,1,1,127,1
46-049,33.33%,3,88,0,1,169,1
46-050,87.50%,2,170,2,2,186,0
46-051,83.33%,5,231,3,0,185,1
46-052,87.50%,0,43,2,0,49,0
46-053,87.50%,2,90,2,2,188,0
46-054,33.33%,1,83,3,0,172,0
46-055,33.33%,1,81,0,0,128,0
46-056,87.50%,0,57,1,3,189,0
46-057,87.50%,2,91,0,0,122,0
46-058,33.33%,1,89,0,1,142,0
46-059,33.33%,3,74,0,0,165,1
46-060,87.50%,1,97,1,0,185,0
46-061,87.50%,1,63,0,0,107,0
46-062,87.50%,1,112,1,0,174,0
46-063,87.50%,1,75,0,1,148,0
46-064,87.50%,2,109,2,0,180,0
46-065,87.50%,3,95,1,0,173,0
46-066,99.00%,1,82,1,0,101,0
46-067,99.00%,1,164,2,1,95,0
46-068,83.33%,0,95,0,0,104,0
46-069,99.00%,0,158,0,0,110,0
46-070,99.00%,1,193,0,0,81,0
46-071,99.00%,2,158,0,0,107,0
46-072,83.33%,2,261,2,2,251,1
46-073,99.00%,1,144,1,0,87,1
46-074,87.50%,0,21,0,0,35,0
46-075,87.50%,3,123,2,0,185,0
46-076,87.50%,1,76,2,1,102,0
46-077,99.00%,0,163,0,0,67,1
46-078,87.50%,3,145,1,0,151,0
46-079,99.00%,0,242,1,1,72,0
46-080,99.00%,1,67,1,3,333,0
46-081,99.00%,0,79,0,0,6,0
46-082,99.00%,0,0,0,0,0,0
46-083,88.89%,0,0,0,0,0,0
46-084,99.00%,0,0,0,0,0,0
47-001,88.89%,1,81,0,0,64,0
47-002,99.00%,1,220,0,0,202,1
47-003,85.71%,0,56,0,0,52,0
47-004,99.00%,0,3,1,0,9,0
47-005,99.00%,2,240,1,3,224,1
47-006,99.00%,3,208,2,1,271,0
47-007,99.00%,4,222,2,3,194,1
47-008,99.00%,2,235,1,0,212,1
47-009,99.00%,2,297,0,3,219,0
47-010,87.50%,0,20,0,1,15,0
47-011,90.00%,0,163,2,0,135,0
47-012,90.00%,0,162,2,0,154,0
47-013,99.00%,0,100,0,1,79,0
47-014,99.00%,3,139,1,1,76,0
47-015,99.00%,1,98,0,1,72,0
47-016,99.00%,0,83,0,0,79,0
47-017,90.00%,2,166,1,1,165,1
47-018,90.00%,3,261,0,1,99,0
47-019,90.00%,0,56,0,0,49,1
